image name (matching Raise-1k),Prompt,Midjourney aspect ratio,Midjourney image choice,Glide/SD 1.x CFG scale,SD14 scale,Glide upsample temperature,Glide choice,SD 1.3 choice,SD 1.4 choice,sd2 resolution,sdxl width,sdxl height,sd2/sdxl steps,sd2/sdxl sampler,sd2/sdxl guider,sd2/sdxl guidance if vanilla scale,sdxl use refiner?,sdxl refiner steps,sdxl refiner sampler,sdxl refiner guider,sdxl refiner guidance if vanilla scale,sdxl finish denoising,dalle3 ar (not guaranteed),Firefly styles,Firefly aspect ratio,Firefly guide strength,Firefly creativity,Firefly exif mode,Firefly manual exif aperture,Firefly manual exif shutter speed,Firefly manual exif FOV,Firefly generation URL
r07e594d6t,"photo of a chalk drawing of jesus on a cross, dark gold and yellow",134:89,2,7.719002878,6.559343982,0.999,3,0,4,512,896,1088,42,EulerEDMSampler,VanillaCFG,6.431946068,TRUE,37,LinearMultistepSampler,VanillaCFG,5.47378108,TRUE,2:3,,square,0,6,manual,1.2,0.066,125,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=photo+of+a+chalk+drawing+of+jesus+on+a+cross%2C+dark+gold+and+yellow&modelInputVersion=v2&aspectRatio=square&creativity=6&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.2%2C""focal_length""%3A125%2C""shutter_speed""%3A0.066}}"
r07f99a1at,"a flag showing a saint on it, in the style of figura serpentinata, humorous tableau, spectacular show of ages, traditional street scenes, velvia, stained glass, transavanguardia",89:134,2,3.333795095,7.864826328,0.995,2,2,4,768,1152,832,43,DPMPP2SAncestralSampler,IdentityGuider,,TRUE,46,EulerAncestralSampler,VanillaCFG,,TRUE,2:1,cool_colors+multiexposure,widescreen,3,9,manual,2,0.008,102,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+flag+showing+a+saint+on+it%2C+in+the+style+of+figura+serpentinata%2C+humorous+tableau%2C+spectacular+show+of+ages%2C+traditional+street+scenes%2C+velvia%2C+stained+glass%2C+transavanguardia&modelInputVersion=v2&aspectRatio=widescreen&creativity=9&guideStrength=3&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2%2C""focal_length""%3A102%2C""shutter_speed""%3A0.008}}&style=cool_colors&style=multiexposure"
r07ffdc87t,"a group of teenage girls in fluffy lion costumes are parading through the city and waving their arms, in the style of calm innocent happiness, orange lion facial makeup with moustache",77:51,2,7.12331105,8.181850037,1,3,0,1,768,1024,960,35,HeunEDMSampler,VanillaCFG,4.95456173,FALSE,,,,,,3:2,multiexposure,landscape,100,10,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+group+of+teenage+girls+in+fluffy+lion+costumes+are+parading+through+the+city+and+waving+their+arms%2C+in+the+style+of+calm+innocent+happiness%2C+orange+lion+facial+makeup+with+moustache&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=100&exif={""mode""%3A""auto""}&style=multiexposure"
r081ad6a3t,"a brick wall angle with a clock tower florentine medieval castle, in the style of florence medieval and renaissance, sky-blue and brick-red, eroded walls",77:51,4,4.692756205,7.408517913,0.999,3,0,5,512,1024,960,51,EulerAncestralSampler,IdentityGuider,,FALSE,,,,,,1:1,misty+chaotic+macrophotography,square,50,7,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+brick+wall+angle+with+a+clock+tower+florentine+medieval+castle%2C+in+the+style+of+florence+medieval+and+renaissance%2C+sky-blue+and+brick-red%2C+eroded+walls&modelInputVersion=v2&aspectRatio=square&creativity=7&guideStrength=50&exif={""mode""%3A""auto""}&style=misty&style=chaotic&style=macrophotography"
r082626aft,"a white child plastic house with a child squatting inside posing for a photo and red window shutters and a blue roofs on the snow next to a bench and behind imposing trees, child-like innocencee, snow scenes",134:89,1,6.867116298,8.804743303,0.998,3,2,4,768,768,1280,35,LinearMultistepSampler,VanillaCFG,5.491216555,TRUE,44,DPMPP2SAncestralSampler,VanillaCFG,4.275971513,TRUE,1:2,multiexposure,widescreen,0,8,manual,16,0.5,127,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+white+child+plastic+house+with+a+child+squatting+inside+posing+for+a+photo+and+red+window+shutters+and+a+blue+roofs+on+the+snow+next+to+a+bench+and+behind+imposing+trees%2C+child-like+innocencee%2C+snow+scenes&modelInputVersion=v2&aspectRatio=widescreen&creativity=8&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A16%2C""focal_length""%3A127%2C""shutter_speed""%3A0.5}}&style=multiexposure"
r08276bf9t,"statue of a man and a woman on the arc de triomphe, in the style of narrative paneling, fine attention to anatomy, arched doorways, muralist",77:51,4,8.023228591,8.579729596,0.997,4,2,4,768,1024,1024,45,EulerAncestralSampler,VanillaCFG,6.254249873,TRUE,40,DPMPP2SAncestralSampler,IdentityGuider,5.296263435,FALSE,1:2,golden_hour,landscape,76,8,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=statue+of+a+man+and+a+woman+on+the+arc+de+triomphe%2C+in+the+style+of+narrative+paneling%2C+fine+attention+to+anatomy%2C+arched+doorways%2C+muralist&modelInputVersion=v2&aspectRatio=landscape&creativity=8&guideStrength=76&exif={""mode""%3A""auto""}&style=golden_hour"
r08307e1at,a green grass glade surrounded by trees with lots of foliage,51:77,1,7.544580363,7.226622102,0.999,2,0,4,768,768,1280,32,EulerAncestralSampler,IdentityGuider,,TRUE,43,LinearMultistepSampler,VanillaCFG,,FALSE,4:5,,widescreen,0,4,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+green+grass+glade+surrounded+by+trees+with+lots+of+foliage&modelInputVersion=v2&aspectRatio=widescreen&creativity=4&guideStrength=0&exif={""mode""%3A""auto""}"
r0833f646t,"heeled red velvet shoes sitting on their shoe box on a wooden floor, light red and dark black, unpolished authenticity",89:134,1,8.31358998,5.790664853,0.997,4,1,4,768,1472,704,41,EulerEDMSampler,IdentityGuider,,TRUE,40,HeunEDMSampler,VanillaCFG,,TRUE,3:2,vibrant_colors+studio_light+knolling,square,50,10,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=heeled+red+velvet+shoes+sitting+on+their+shoe+box+on+a+wooden+floor%2C+light+red+and+dark+black%2C+unpolished+authenticity&modelInputVersion=v2&aspectRatio=square&creativity=10&guideStrength=50&exif={""mode""%3A""auto""}&style=vibrant_colors&style=studio_light&style=knolling"
r083b7636t,two hikers hiking up a hill,77:51,3,4.575646467,4.2472462,0.996,3,1,0,768,704,1344,47,DPMPP2MSampler,VanillaCFG,6.726101424,TRUE,39,DPMPP2SAncestralSampler,IdentityGuider,4.555166814,TRUE,2:1,minimalism+bw+low_lighting,portrait,0,8,manual,16,1,15,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=two+hikers+hiking+up+a+hill&modelInputVersion=v2&aspectRatio=portrait&creativity=8&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A16%2C""focal_length""%3A15%2C""shutter_speed""%3A1}}&style=minimalism&style=bw&style=low_lighting"
r08414c5at,"a white clock tower erect on the street with people walking around in front of a grassy hill, in the style of strong shadows",51:77,1,7.972891136,3.010895395,1,2,3,0,768,896,1088,44,HeunEDMSampler,VanillaCFG,4.232880803,FALSE,,,,,,3:2,bw+long-time_exposure,widescreen,0,8,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+white+clock+tower+erect+on+the+street+with+people+walking+around+in+front+of+a+grassy+hill%2C+in+the+style+of+strong+shadows&modelInputVersion=v2&aspectRatio=widescreen&creativity=8&guideStrength=0&exif={""mode""%3A""auto""}&style=bw&style=long-time_exposure"
r084889d5t,"farmlands viewed from the side of a road, a forest afar, in the style of light gray and light gold and green",77:51,1,4.29284439,6.397435692,0.997,1,2,4,768,1088,896,41,DPMPP2SAncestralSampler,IdentityGuider,,FALSE,,,,,,1:1,monochromatic,square,72,6,manual,2,1,67,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=farmlands+viewed+from+the+side+of+a+road%2C+a+forest+afar%2C+in+the+style+of+light+gray+and+light+gold+and+green&modelInputVersion=v2&aspectRatio=square&creativity=6&guideStrength=72&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2%2C""focal_length""%3A67%2C""shutter_speed""%3A1}}&style=monochromatic"
r085a5f53t,green hills with lush foliage and a castle in view afar,77:51,2,7.384424921,4.521490974,0.998,2,2,4,768,1280,768,47,HeunEDMSampler,VanillaCFG,8.297900318,FALSE,,,,,,2:1,product_photo+multiexposure+shot_from_below,widescreen,50,10,manual,4,0.5,41,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=green+hills+with+lush+foliage+and+a+castle+in+view+afar&modelInputVersion=v2&aspectRatio=widescreen&creativity=10&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A4%2C""focal_length""%3A41%2C""shutter_speed""%3A0.5}}&style=product_photo&style=multiexposure&style=shot_from_below"
r08788547t,"chandeliers in front of a gold wall with crimson velvet drapes, in the style of baroque ornate and dramatic compositions, detailed, gold and crimson",77:51,2,6.066881047,3.974328452,0.998,1,2,5,768,1664,576,29,DPMPP2MSampler,IdentityGuider,,FALSE,,,,,,3:4,warm_colors+harsh_light,landscape,50,4,manual,2,0.016,231,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=chandeliers+in+front+of+a+gold+wall+with+crimson+velvet+drapes%2C+in+the+style+of+baroque+ornate+and+dramatic+compositions%2C+detailed%2C+gold+and+crimson&modelInputVersion=v2&aspectRatio=landscape&creativity=4&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2%2C""focal_length""%3A231%2C""shutter_speed""%3A0.016}}&style=warm_colors&style=harsh_light"
r087a13a6t,"a road across a field in front of trees with mountains in the far background, in the style of slovenian landscape",77:51,2,6.76721315,4.301001078,0.998,2,2,5,512,832,1216,29,EulerEDMSampler,VanillaCFG,2.032440849,FALSE,,,,,,2:3,cool_colors+golden_hour+shot_from_below,portrait,48,3,manual,16,0.0006,207,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+road+across+a+field+in+front+of+trees+with+mountains+in+the+far+background%2C+in+the+style+of+slovenian+landscape&modelInputVersion=v2&aspectRatio=portrait&creativity=3&guideStrength=48&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A16%2C""focal_length""%3A207%2C""shutter_speed""%3A0.0006}}&style=cool_colors&style=golden_hour&style=shot_from_below"
r08873591t,"a close-up of light gold grass in the sunlight under a green bokeh background, in the style of naturalist, light gold and green",77:51,1,7.890669768,3.699630435,0.999,4,2,2,768,1408,704,36,LinearMultistepSampler,VanillaCFG,8.317000944,FALSE,,,,,,2:3,pastel_colors+harsh_light+landscape_photography,portrait,13,7,manual,1.4,0.066,65,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+close-up+of+light+gold+grass+in+the+sunlight+under+a+green+bokeh+background%2C+in+the+style+of+naturalist%2C+light+gold+and+green&modelInputVersion=v2&aspectRatio=portrait&creativity=7&guideStrength=13&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.4%2C""focal_length""%3A65%2C""shutter_speed""%3A0.066}}&style=pastel_colors&style=harsh_light&style=landscape_photography"
r088dcebft,"view to a dirt trail to a light green hilltop, a foggy hill in the background, in the style of clouded sky",77:51,3,7.084495514,4.803750276,0.995,4,0,1,768,832,1152,41,DPMPP2MSampler,IdentityGuider,,FALSE,,,,,,9:16,,portrait,0,4,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=view+to+a+dirt+trail+to+a+light+green+hilltop%2C+a+foggy+hill+in+the+background%2C+in+the+style+of+clouded+sky&modelInputVersion=v2&aspectRatio=portrait&creativity=4&guideStrength=0&exif={""mode""%3A""auto""}"
r0897d8aat,"a building with a shop on the first floor and an elaborate gold-on-blue sculpture on the facade between two windows, three people passing by in a carriage, in the style of venetian scenes",51:77,1,5.201266967,7.373002182,0.995,4,9,0,512,1024,960,51,DPMPP2MSampler,IdentityGuider,,TRUE,40,LinearMultistepSampler,VanillaCFG,,TRUE,2:3,long-time_exposure,square,50,7,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+building+with+a+shop+on+the+first+floor+and+an+elaborate+gold-on-blue+sculpture+on+the+facade+between+two+windows%2C+three+people+passing+by+in+a+carriage%2C+in+the+style+of+venetian+scenes&modelInputVersion=v2&aspectRatio=square&creativity=7&guideStrength=50&exif={""mode""%3A""auto""}&style=long-time_exposure"
r08996953t,"a rocky hillside with a wooden house on the cliff, view to a dark lush valley with a river and another hill afar, clouded sky",77:51,1,4.572825355,7.129864235,0.998,3,2,3,768,832,1152,38,EulerEDMSampler,VanillaCFG,3.226192278,FALSE,,,,,,4:3,wide_angle,square,19,5,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+rocky+hillside+with+a+wooden+house+on+the+cliff%2C+view+to+a+dark+lush+valley+with+a+river+and+another+hill+afar%2C+clouded+sky&modelInputVersion=v2&aspectRatio=square&creativity=5&guideStrength=19&exif={""mode""%3A""auto""}&style=wide_angle"
r089cae91t,"large statues in the fountain, in the style of roman art and architecture, light brown and gray, organic formations, dark white and turquoise",134:89,1,7.561994426,3.226908658,0.999,1,0,0,768,1024,1024,43,LinearMultistepSampler,VanillaCFG,6.91831969,TRUE,46,DPMPP2MSampler,VanillaCFG,8.48343341,TRUE,4:5,vibrant_colors,widescreen,86,4,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=large+statues+in+the+fountain%2C+in+the+style+of+roman+art+and+architecture%2C+light+brown+and+gray%2C+organic+formations%2C+dark+white+and+turquoise&modelInputVersion=v2&aspectRatio=widescreen&creativity=4&guideStrength=86&exif={""mode""%3A""auto""}&style=vibrant_colors"
r08abaa78t,"top of a white church with a spire in front of a dark lush snowy mountainside, in the style of gothic architecture, religious building",77:51,1,2.58907887,5.708865961,0.998,3,0,1,768,1280,768,47,DPMPP2SAncestralSampler,IdentityGuider,,TRUE,44,LinearMultistepSampler,VanillaCFG,,TRUE,1:1,isometric+studio_light,landscape,100,10,manual,22,0.004,152,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=top+of+a+white+church+with+a+spire+in+front+of+a+dark+lush+snowy+mountainside%2C+in+the+style+of+gothic+architecture%2C+religious+building&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A22%2C""focal_length""%3A152%2C""shutter_speed""%3A0.004}}&style=isometric&style=studio_light"
r08ac875ct,"view from the hillside to a medieval castle tower in a forest, in the style of german landscapes",77:51,3,4.960983934,5.426687525,0.999,4,0,1,768,1728,576,33,HeunEDMSampler,IdentityGuider,,TRUE,37,DPMPP2SAncestralSampler,VanillaCFG,,TRUE,3:4,dramatic_light,portrait,86,4,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=view+from+the+hillside+to+a+medieval+castle+tower+in+a+forest%2C+in+the+style+of+german+landscapes&modelInputVersion=v2&aspectRatio=portrait&creativity=4&guideStrength=86&exif={""mode""%3A""auto""}&style=dramatic_light"
r08b04f65t,"a statue of an angel, in the style of realistic blue skies, wide angle lens, asymmetry, dignified poses",51:77,1,5.263567259,3.345736333,0.996,2,2,2,768,704,1408,45,DPMPP2MSampler,VanillaCFG,4.779187372,TRUE,36,DPMPP2MSampler,VanillaCFG,1.224133043,FALSE,4:5,monochromatic,landscape,7,2,manual,4,0.0006,139,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+statue+of+an+angel%2C+in+the+style+of+realistic+blue+skies%2C+wide+angle+lens%2C+asymmetry%2C+dignified+poses&modelInputVersion=v2&aspectRatio=landscape&creativity=2&guideStrength=7&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A4%2C""focal_length""%3A139%2C""shutter_speed""%3A0.0006}}&style=monochromatic"
r08b41f18t,a branch of pink cherry blossoms hanging down a tree,77:51,3,4.324739723,8.775331857,0.995,3,5,2,768,960,1024,44,EulerEDMSampler,IdentityGuider,,TRUE,30,DPMPP2SAncestralSampler,VanillaCFG,,FALSE,2:3,pastel_colors+golden_hour,landscape,100,10,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+branch+of+pink+cherry+blossoms+hanging+down+a+tree&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=100&exif={""mode""%3A""auto""}&style=pastel_colors&style=golden_hour"
r08c76321t,facade of the roman pantheon at dusk,134:89,2,3.817776491,6.945296423,0.997,1,5,0,768,704,1408,36,EulerEDMSampler,IdentityGuider,,TRUE,45,HeunEDMSampler,IdentityGuider,,TRUE,3:2,backlighting+wide_angle,landscape,50,7,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=facade+of+the+roman+pantheon+at+dusk&modelInputVersion=v2&aspectRatio=landscape&creativity=7&guideStrength=50&exif={""mode""%3A""auto""}&style=backlighting&style=wide_angle"
r08cbbab9t,view from the cliff to wild grass and a rocky coast on the aquamarine ocean,77:51,2,5.40348485,8.128224876,1,4,0,2,512,768,1344,43,EulerEDMSampler,IdentityGuider,,TRUE,44,EulerAncestralSampler,IdentityGuider,,TRUE,5:4,monochromatic+studio_light,landscape,0,10,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=view+from+the+cliff+to+wild+grass+and+a+rocky+coast+on+the+aquamarine+ocean&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=0&exif={""mode""%3A""auto""}&style=monochromatic&style=studio_light"
r08d2b4dat,"the trees are pink near old stone walls and a road with a mountain in the background, in the style of mediterranean landscape",77:51,3,5.616248488,8.11193999,0.997,4,1,2,768,1600,640,44,EulerEDMSampler,IdentityGuider,,TRUE,34,DPMPP2SAncestralSampler,VanillaCFG,,FALSE,5:4,antique_photo+isometric+otherworldly_depiction+warm_colors,landscape,100,3,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=the+trees+are+pink+near+old+stone+walls+and+a+road+with+a+mountain+in+the+background%2C+in+the+style+of+mediterranean+landscape&modelInputVersion=v2&aspectRatio=landscape&creativity=3&guideStrength=100&exif={""mode""%3A""auto""}&style=antique_photo&style=isometric&style=otherworldly_depiction&style=warm_colors"
r08d9a0cet,a crowd is on the sidewalks looking at a carnival carriage parade in the shape of a roman building,134:89,2,5.155982144,6.35199865,0.999,1,5,3,768,1536,640,45,DPMPP2SAncestralSampler,IdentityGuider,,FALSE,,,,,,5:4,chaotic+cool_colors+surreal_lighting,square,100,8,manual,22,0.125,247,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+crowd+is+on+the+sidewalks+looking+at+a+carnival+carriage+parade+in+the+shape+of+a+roman+building&modelInputVersion=v2&aspectRatio=square&creativity=8&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A22%2C""focal_length""%3A247%2C""shutter_speed""%3A0.125}}&style=chaotic&style=cool_colors&style=surreal_lighting"
r08df6903t,brown and white oblong ski resort building with snow on top of it,77:51,3,7.091464148,3.955515659,0.997,2,2,3,768,704,1344,30,EulerAncestralSampler,VanillaCFG,7.051436247,TRUE,42,EulerAncestralSampler,VanillaCFG,7.490703442,FALSE,4:3,studio_light,square,50,5,manual,1.4,0.5,130,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=brown+and+white+oblong+ski+resort+building+with+snow+on+top+of+it&modelInputVersion=v2&aspectRatio=square&creativity=5&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.4%2C""focal_length""%3A130%2C""shutter_speed""%3A0.5}}&style=studio_light"
r08f2d4c6t,"statues on a fountain with a crowd of tourists passing by, white tall building covering the background, in the style of roman architecture",77:51,4,2.623907958,5.153635593,1,3,2,4,512,960,1024,45,LinearMultistepSampler,VanillaCFG,2.277144102,TRUE,42,EulerAncestralSampler,IdentityGuider,5.357130328,TRUE,5:4,long-time_exposure,square,0,2,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=statues+on+a+fountain+with+a+crowd+of+tourists+passing+by%2C+white+tall+building+covering+the+background%2C+in+the+style+of+roman+architecture&modelInputVersion=v2&aspectRatio=square&creativity=2&guideStrength=0&exif={""mode""%3A""auto""}&style=long-time_exposure"
r0905697bt,a car on a steep mountain cliff road with view to the misty valley,77:51,1,6.540225851,7.44795686,1,1,0,4,768,896,1152,45,EulerAncestralSampler,VanillaCFG,6.428426791,TRUE,35,LinearMultistepSampler,VanillaCFG,4.183258807,FALSE,3:2,backlighting,widescreen,100,5,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+car+on+a+steep+mountain+cliff+road+with+view+to+the+misty+valley&modelInputVersion=v2&aspectRatio=widescreen&creativity=5&guideStrength=100&exif={""mode""%3A""auto""}&style=backlighting"
r09245347t,"wooden ceiling of the church with view to an altar, warm lighting",89:134,2,7.745657017,3.392203135,0.999,4,2,2,512,1344,704,44,HeunEDMSampler,VanillaCFG,4.909536834,FALSE,,,,,,16:9,multiexposure,square,50,5,manual,16,10,76,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=wooden+ceiling+of+the+church+with+view+to+an+altar%2C+warm+lighting&modelInputVersion=v2&aspectRatio=square&creativity=5&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A16%2C""focal_length""%3A76%2C""shutter_speed""%3A10}}&style=multiexposure"
r092b4511t,"view on damaged solid ice, a group of people are standing on it in the background, in the style of textural surface treatment",134:89,2,5.988254538,5.610608219,0.998,2,2,2,512,1344,704,36,LinearMultistepSampler,VanillaCFG,5.155194566,TRUE,40,DPMPP2SAncestralSampler,VanillaCFG,3.991242487,FALSE,2:1,simple+muted,square,100,10,manual,2.8,0.004,70,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=view+on+damaged+solid+ice%2C+a+group+of+people+are+standing+on+it+in+the+background%2C+in+the+style+of+textural+surface+treatment&modelInputVersion=v2&aspectRatio=square&creativity=10&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2.8%2C""focal_length""%3A70%2C""shutter_speed""%3A0.004}}&style=simple&style=muted"
r0941aa38t,"gold and black costumed people with white and black tall feathers on the hat parading through the street during the venice carnival, in the style of colorful costumes, venetian scenes, bold color fusions",89:134,3,3.301327441,4.674149218,0.999,4,4,1,512,1152,832,34,DPMPP2SAncestralSampler,VanillaCFG,8.884673673,TRUE,36,EulerEDMSampler,IdentityGuider,5.292379089,FALSE,1:2,,landscape,100,9,manual,1.4,0.066,70,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=gold+and+black+costumed+people+with+white+and+black+tall+feathers+on+the+hat+parading+through+the+street+during+the+venice+carnival%2C+in+the+style+of+colorful+costumes%2C+venetian+scenes%2C+bold+color+fusions&modelInputVersion=v2&aspectRatio=landscape&creativity=9&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.4%2C""focal_length""%3A70%2C""shutter_speed""%3A0.066}}"
r09445479t,"a snow-covered old white building, urban decay",51:77,4,3.451057346,7.749635841,0.997,4,5,0,512,1152,832,39,DPMPP2SAncestralSampler,VanillaCFG,3.913587162,TRUE,43,LinearMultistepSampler,VanillaCFG,4.401307728,TRUE,5:4,cool_colors+surreal_lighting,portrait,0,7,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+snow-covered+old+white+building%2C+urban+decay&modelInputVersion=v2&aspectRatio=portrait&creativity=7&guideStrength=0&exif={""mode""%3A""auto""}&style=cool_colors&style=surreal_lighting"
r094ced7bt,yellow pine trees in a rainy forest,51:77,1,8.500478421,5.833341559,0.996,4,2,0,768,1344,704,39,EulerAncestralSampler,IdentityGuider,,FALSE,,,,,,1:2,bw+surreal_lighting+closeup,widescreen,0,4,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=yellow+pine+trees+in+a+rainy+forest&modelInputVersion=v2&aspectRatio=widescreen&creativity=4&guideStrength=0&exif={""mode""%3A""auto""}&style=bw&style=surreal_lighting&style=closeup"
r094cf3c6t,"white flowers growing up in the air, with a bokeh pink flowers and dark green background, in the style of light pink and saturated pink and dark green",77:51,2,3.206766949,8.141101798,0.999,3,0,5,768,960,1088,42,EulerAncestralSampler,IdentityGuider,,FALSE,,,,,,2:1,chaotic+long-time_exposure,landscape,0,9,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=white+flowers+growing+up+in+the+air%2C+with+a+bokeh+pink+flowers+and+dark+green+background%2C+in+the+style+of+light+pink+and+saturated+pink+and+dark+green&modelInputVersion=v2&aspectRatio=landscape&creativity=9&guideStrength=0&exif={""mode""%3A""auto""}&style=chaotic&style=long-time_exposure"
r09670876t,"photo of the pisa cathedral with the pisa tower behind, blue sky",77:51,4,6.955723753,6.245048355,0.996,3,5,5,768,896,1088,37,LinearMultistepSampler,VanillaCFG,5.115966125,TRUE,44,HeunEDMSampler,VanillaCFG,6.547185242,TRUE,1:2,harsh_light+knolling,portrait,100,7,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=photo+of+the+pisa+cathedral+with+the+pisa+tower+behind%2C+blue+sky&modelInputVersion=v2&aspectRatio=portrait&creativity=7&guideStrength=100&exif={""mode""%3A""auto""}&style=harsh_light&style=knolling"
r09696ba3t,"large slightly foggy rock mountains, blue sky with white clouds, in the style of alpine landscapes",77:51,4,6.797495302,4.031884299,0.996,2,0,5,768,1536,640,40,LinearMultistepSampler,IdentityGuider,,FALSE,,,,,,16:9,warm_colors+golden_hour,widescreen,71,6,manual,1.2,0.004,117,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=large+slightly+foggy+rock+mountains%2C+blue+sky+with+white+clouds%2C+in+the+style+of+alpine+landscapes&modelInputVersion=v2&aspectRatio=widescreen&creativity=6&guideStrength=71&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.2%2C""focal_length""%3A117%2C""shutter_speed""%3A0.004}}&style=warm_colors&style=golden_hour"
